"Judgenum","judge","nomination_date","confirmation_date","confirmation_vote","appointed_by","pres_start_date","start_active_date","end_active_date","end_senior_date","court","court_type","months_from_inauguration"
33,"Van Antwerpen, Franklin","2003-11-21","2004-05-20",NA,"George W. Bush","2001-01-01","2004-05-24","2006-10-23","2016-07-25","Third","District",40
34,"Gruender, Raymond","2003-09-29","2004-05-20",NA,"George W. Bush","2001-01-01","2004-06-05","2018-01-10",NA,"Eighth","District",41
35,"Benton, William Duane","2004-02-12","2004-06-24",NA,"George W. Bush","2001-01-01","2004-07-02","2018-01-10",NA,"Eighth","District",42
36,"Hall, Peter W.","2003-12-09","2004-06-24",NA,"George W. Bush","2001-01-01","2004-07-07","2018-01-10",NA,"Second","District",42
37,"Sykes, Diane S.","2003-11-14","2004-06-24",NA,"George W. Bush","2001-01-01","2004-07-01","2018-01-10",NA,"Seventh","District",42
38,"Owen, Priscilla","2005-02-14","2005-05-25",NA,"George W. Bush","2001-01-01","2005-06-03","2018-01-10",NA,"Fifth","District",53
39,"Brown, Janice Rogers","2005-02-14","2005-06-08",NA,"George W. Bush","2001-01-01","2005-06-10","2017-08-31",NA,"D.C. Cir.","District",53
40,"McKeague, David","2005-02-14","2005-06-09",NA,"George W. Bush","2001-01-01","2005-06-10","2018-01-10",NA,"Sixth","District",53
41,"Griffin, Richard Allen","2005-02-14","2005-06-09",NA,"George W. Bush","2001-01-01","2005-06-10","2018-01-10",NA,"Sixth","District",53
42,"Griffith, Thomas B.","2005-02-14","2005-06-14",NA,"George W. Bush","2001-01-01","2005-06-29","2018-01-10",NA,"D.C. Cir.","District",53
43,"Neilson, Susan Bieke","2005-02-14","2005-10-27",NA,"George W. Bush","2001-01-01","2005-11-09","2006-01-25",NA,"Sixth","District",58
44,"Chagares, Michael","2006-01-25","2006-04-04",NA,"George W. Bush","2001-01-01","2006-04-20","2018-01-10",NA,"Third","District",63
45,"Smith, Jr., Milan Dale","2006-02-13","2006-05-16",NA,"George W. Bush","2001-01-01","2006-05-18","2018-01-10",NA,"Ninth","District",64
46,"Kavanaugh, Brett","2006-01-25","2006-05-26",NA,"George W. Bush","2001-01-01","2006-05-30","2018-01-10",NA,"D.C. Cir.","District",64
47,"Ikuta, Sandra Segal","2006-02-08","2006-06-19",NA,"George W. Bush","2001-01-01","2006-06-23","2018-01-10",NA,"Ninth","District",65
48,"Shepherd, Bobby","2006-05-18","2006-07-20",NA,"George W. Bush","2001-01-01","2006-10-10","2018-01-10",NA,"Eighth","District",69
49,"Gorsuch, Neil","2006-05-10","2006-07-20",NA,"George W. Bush","2001-01-01","2006-08-08","2017-04-09",NA,"Tenth","District",67
50,"Holmes, Jerome","2006-05-04","2006-07-25",NA,"George W. Bush","2001-01-01","2006-08-09","2018-01-10",NA,"Tenth","District",67
51,"Moore, Kimberly Ann","2006-05-18","2006-09-05",NA,"George W. Bush","2001-01-01","2006-09-08","2018-01-10",NA,"Fed. Cir.","District",68
52,"Jordan, Kent A.","2006-06-28","2006-12-08",NA,"George W. Bush","2001-01-01","2006-12-13","2018-01-10",NA,"Third","District",71
53,"Smith, N. Randy","2007-01-16","2007-02-15",NA,"George W. Bush","2001-01-01","2007-03-19","2018-01-10",NA,"Ninth","District",74
54,"Hardiman, Thomas","2007-01-09","2007-03-15",NA,"George W. Bush","2001-01-01","2007-04-02","2018-01-10",NA,"Third","District",75
55,"Livingston, Debra Ann","2007-01-09","2007-05-09",NA,"George W. Bush","2001-01-01","2007-05-17","2018-01-10",NA,"Second","District",76
56,"Elrod, Jennifer","2007-03-29","2007-10-04",NA,"George W. Bush","2001-01-01","2007-10-19","2018-01-10",NA,"Fifth","District",81
57,"Southwick, Leslie H.","2007-01-09","2007-10-24",NA,"George W. Bush","2001-01-01","2007-10-29","2018-01-10",NA,"Fifth","District",81
58,"Tinder, John Daniel","2007-07-17","2007-12-18",NA,"George W. Bush","2001-01-01","2007-12-21","2015-02-18","2015-10-09","Seventh","District",83
59,"Haynes, Catharina","2007-07-17","2008-04-10",NA,"George W. Bush","2001-01-01","2008-04-18","2018-01-10",NA,"Fifth","District",87
60,"Agee, G. Steven","2008-03-13","2008-05-20",NA,"George W. Bush","2001-01-01","2008-07-01","2018-01-10",NA,"Fourth","District",90
61,"White, Helene","2008-04-15","2008-06-24",NA,"George W. Bush","2001-01-01","2008-08-08","2018-01-10",NA,"Sixth","District",91
62,"Kethledge, Raymond","2007-03-19","2008-06-24",NA,"George W. Bush","2001-01-01","2008-07-07","2018-01-10",NA,"Sixth","District",90
1,"Michael, M. Blane","1993-08-06","1993-09-30",NA,"Bill Clinton","1993-01-01","1993-10-01","2011-03-25",NA,"Fourth","District",9
2,"Leval, Pierre N.","1993-08-06","1993-10-18",NA,"Bill Clinton","1993-01-01","1993-10-20","2002-08-16","2018-01-10","Second","District",9
3,"Daughtrey, Martha Craig","1993-08-06","1993-11-20",NA,"Bill Clinton","1993-01-01","1993-11-22","2009-01-01","2018-01-10","Sixth","District",10
4,"Rogers, Judith Ann Wilson","1993-11-17","1994-03-10",NA,"Bill Clinton","1993-01-01","1994-03-11","2018-01-10",NA,"D.C. Cir.","District",14
5,"Barkett, Rosemary","1993-09-24","1994-04-14",NA,"Bill Clinton","1993-01-01","1994-04-15","2013-09-30",NA,"Eleventh","District",15
6,"Benavides, Fortunato","1994-01-27","1994-05-06",NA,"Bill Clinton","1993-01-01","1994-05-09","2012-02-03","2018-01-10","Fifth","District",16
7,"Stewart, Carl E.","1994-01-27","1994-05-06",NA,"Bill Clinton","1993-01-01","1994-05-09","2018-01-10",NA,"Fifth","District",16
8,"Henry, Robert Harlan","1994-02-09","1994-05-06",NA,"Bill Clinton","1993-01-01","1994-05-09","2010-06-30",NA,"Tenth","District",16
9,"Cabranes, José A.","1994-05-24","1994-08-09",NA,"Bill Clinton","1993-01-01","1994-08-10","2018-01-10",NA,"Second","District",19
10,"McKee, Theodore","1994-03-22","1994-06-08",NA,"Bill Clinton","1993-01-01","1994-06-09","2018-01-10",NA,"Third","District",17
11,"Parker, Robert Manley","1994-01-27","1994-06-15",NA,"Bill Clinton","1993-01-01","1994-06-16","2002-11-01",NA,"Fifth","District",17
12,"Motz, Diana Gribbon","1994-01-27","1994-06-15",NA,"Bill Clinton","1993-01-01","1994-06-16","2018-01-10",NA,"Fourth","District",17
13,"Calabresi, Guido","1994-02-09","1994-07-18",NA,"Bill Clinton","1993-01-01","1994-07-21","2009-07-21","2018-01-10","Second","District",18
14,"Hawkins, Michael Daly","1994-07-13","1994-09-14",NA,"Bill Clinton","1993-01-01","1994-09-15","2010-02-12","2018-01-10","Ninth","District",20
15,"Bryson, William Curtis","1994-06-22","1994-09-28",NA,"Bill Clinton","1993-01-01","1994-09-29","2013-01-07","2018-01-10","Fed. Cir.","District",20
16,"Sarokin, H. Lee","1994-05-05","1994-10-04",NA,"Bill Clinton","1993-01-01","1994-10-05","1996-07-31",NA,"Third","District",21
17,"Tatel, David S.","1994-06-20","1994-10-07",NA,"Bill Clinton","1993-01-01","1994-10-07","2018-01-10",NA,"D.C. Cir.","District",21
18,"Murphy, Diana E.","1994-07-28","1994-10-07",NA,"Bill Clinton","1993-01-01","1994-10-11","2016-11-29","2018-01-10","Eighth","District",21
19,"Parker, Fred I.","1994-08-25","1994-10-07",NA,"Bill Clinton","1993-01-01","1994-10-11","2003-08-12",NA,"Second","District",21
20,"Lynch, Sandra","1995-01-11","1995-03-17",NA,"Bill Clinton","1993-01-01","1995-03-17","2018-01-10",NA,"First","District",26
21,"Moore, Karen Nelson","1995-01-24","1995-03-24",NA,"Bill Clinton","1993-01-01","1995-03-24","2018-01-10",NA,"Sixth","District",26
22,"Briscoe, Mary Beck","1995-03-14","1995-05-25",NA,"Bill Clinton","1993-01-01","1995-05-26","2018-01-10",NA,"Tenth","District",28
23,"Lucero, Carlos F.","1995-03-23","1995-06-30",NA,"Bill Clinton","1993-01-01","1995-06-30","2018-01-10",NA,"Tenth","District",29
24,"Wood, Diane","1995-03-31","1995-06-30",NA,"Bill Clinton","1993-01-01","1995-06-30","2018-01-10",NA,"Seventh","District",29
25,"Evans, Terence T.","1995-04-25","1995-08-11",NA,"Bill Clinton","1993-01-01","1995-08-11","2010-01-07","2011-08-10","Seventh","District",31
26,"Murphy, Michael R.","1995-07-25","1995-08-11",NA,"Bill Clinton","1993-01-01","1995-08-14","2012-12-31","2018-01-10","Tenth","District",31
27,"Dennis, James L.","1995-01-31","1995-09-28",NA,"Bill Clinton","1993-01-01","1995-10-02","2018-01-10",NA,"Fifth","District",33
28,"Cole, Jr., Ransey Guy","1995-06-29","1995-12-22",NA,"Bill Clinton","1993-01-01","1995-12-26","2018-01-10",NA,"Sixth","District",35
29,"Tashima, A. Wallace","1995-04-06","1996-01-02",NA,"Bill Clinton","1993-01-01","1996-01-04","2004-06-30","2018-01-10","Ninth","District",36
30,"Thomas, Sidney Runyan","1995-07-19","1996-01-02",NA,"Bill Clinton","1993-01-01","1996-01-04","2018-01-10",NA,"Ninth","District",36
31,"Garland, Merrick B.","1997-01-07","1997-03-19",NA,"Bill Clinton","1993-01-01","1997-03-20","2018-01-10",NA,"D.C. Cir.","District",50
32,"Clay, Eric L.","1997-05-07","1997-07-31",NA,"Bill Clinton","1993-01-01","1997-08-01","2018-01-10",NA,"Sixth","District",55
33,"Gajarsa, Arthur J.","1997-01-07","1997-07-31",NA,"Bill Clinton","1993-01-01","1997-08-01","2011-07-31","2012-06-30","Fed. Cir.","District",55
34,"Hull, Frank M.","1997-06-18","1997-09-04",NA,"Bill Clinton","1993-01-01","1997-09-18","2017-12-31","2018-01-10","Eleventh","District",56
35,"Rendell, Marjorie","1997-01-07","1997-09-26",NA,"Bill Clinton","1993-01-01","1997-09-29","2015-07-01","2018-01-10","Third","District",56
36,"Gilman, Ronald Lee","1997-07-16","1997-11-06",NA,"Bill Clinton","1993-01-01","1997-11-07","2010-11-21","2018-01-10","Sixth","District",58
37,"Marcus, Stanley","1997-09-25","1997-11-07",NA,"Bill Clinton","1993-01-01","1997-11-12","2018-01-10",NA,"Eleventh","District",58
38,"Silverman, Barry G.","1997-11-08","1998-01-28",NA,"Bill Clinton","1993-01-01","1998-02-04","2016-10-11","2018-01-10","Ninth","District",61
39,"Graber, Susan P.","1997-07-30","1998-03-17",NA,"Bill Clinton","1993-01-01","1998-03-19","2018-01-10",NA,"Ninth","District",62
40,"McKeown, M. Margaret","1997-01-07","1998-03-27",NA,"Bill Clinton","1993-01-01","1998-04-08","2018-01-10",NA,"Ninth","District",63
41,"Lipez, Kermit","1997-10-20","1998-04-02",NA,"Bill Clinton","1993-01-01","1998-04-07","2011-12-31","2018-01-10","First","District",63
42,"Straub, Chester J.","1998-02-11","1998-06-01",NA,"Bill Clinton","1993-01-01","1998-06-03","2008-07-16","2018-01-10","Second","District",65
43,"Pooler, Rosemary S.","1997-11-06","1998-06-02",NA,"Bill Clinton","1993-01-01","1998-06-03","2018-01-10",NA,"Second","District",65
44,"Sack, Robert D.","1997-11-06","1998-06-15",NA,"Bill Clinton","1993-01-01","1998-06-16","2009-08-06","2018-01-10","Second","District",65
45,"Kelly, John David","1998-01-27","1998-07-31",NA,"Bill Clinton","1993-01-01","1998-08-03","1998-10-21",NA,"Eighth","District",67
46,"Wardlaw, Kim McLane","1998-01-27","1998-07-31",NA,"Bill Clinton","1993-01-01","1998-08-03","2018-01-10",NA,"Ninth","District",67
47,"Traxler, Jr., William Byrd","1998-07-10","1998-09-28",NA,"Bill Clinton","1993-01-01","1998-10-01","2018-01-10",NA,"Fourth","District",69
48,"Sotomayor, Sonia","1997-06-25","1998-10-02",NA,"Bill Clinton","1993-01-01","1998-10-07","2009-08-07",NA,"Second","District",69
49,"Fletcher, William A.","1997-01-07","1998-10-08",NA,"Bill Clinton","1993-01-01","1998-10-09","2018-01-10",NA,"Ninth","District",69
50,"King, Robert Bruce","1998-06-24","1998-10-08",NA,"Bill Clinton","1993-01-01","1998-10-09","2018-01-10",NA,"Fourth","District",69
51,"Katzmann, Robert","1999-03-08","1999-07-14",NA,"Bill Clinton","1993-01-01","1999-07-16","2018-01-10",NA,"Second","District",78
52,"Wilson, Charles R.","1999-05-27","1999-07-30",NA,"Bill Clinton","1993-01-01","1999-08-09","2018-01-10",NA,"Eleventh","District",79
