"Date_Nominated","Name_of_Nominee","Court_to_Which_Nominated","President","Congress","ABA_Rating"
"1/24/90","McKenna, Lawrence M.","USDC: Southern District of New York","H.W. Bush",101,"Q"
"1/24/90","Nickerson, William M.","USDC: District of Maryland","H.W. Bush",101,"WQ"
"1/24/90","Rainey, John D.","USDC: Southern District of Texas","H.W. Bush",101,"WQ"
"1/24/90","Singleton, James K.","USDC: District of Alaska","H.W. Bush",101,"WQ"
"1/24/90","Souter, David H. (NH)","First Circuit","H.W. Bush",101,"WQ"
"1/24/90","Sparr, Daniel B.","USDC: District of Colorado","H.W. Bush",101,"WQ"
"1/24/90","Stahl, Norman H.","USDC: District of New Hampshire","H.W. Bush",101,"WQ"
"1/24/95","Chesney, Maxine Mackler","USDC: Northern District of California","Clinton",104,"WQ"
"1/24/95","Moore, Karen Nelson (OH)","Sixth Circuit","Clinton",104,"Qsm/WQmin"
"1/25/06","Bryant, Vanessa L.","USDC: District of Connecticut","W. Bush",109,"NQsm/Qmin"
"1/25/06","Bumb, Renee Marie","USDC: District of New Jersey","W. Bush",109,"WQ"
"1/25/06","Chagares, Michael A. (NJ)","Third Circuit","W. Bush",109,"WQ"
"1/25/06","Cogan, Brian M.","USDC: Eastern District of New York","W. Bush",109,"Qsm/WQmin"
"1/25/06","Golden, Thomas M.","USDC: Eastern District of Pennsylvania","W. Bush",109,"WQ"
"1/25/06","Guilford, Andrew J.","USDC: Central District of California","W. Bush",109,"WQ"
"1/25/06","Hillman, Noel Lawrence","USDC: District of New Jersey","W. Bush",109,"WQ"
"1/25/06","Kavanaugh, Brett M. (MD)","DC Circuit","W. Bush",109,"Qsm/WQmin"
"1/25/06","Miller, Gray Hampton","USDC: Southern District of Texas","W. Bush",109,"WQsm/Qmin"
"1/25/06","Wigenton, Susan Davis","USDC: District of New Jersey","W. Bush",109,"Qm/WQmin"
"1/25/96","Paez, Richard Anthony (CA)","Ninth Circuit","Clinton",104,"WQsm/Qmin"
"1/26/11","Floyd, Henry F. (SC)","Fourth Circuit","Obama",112,"WQ"
"1/26/11","Green, Michael Charles","USDC: Western District of New York","Obama",112,"Qm/NQmin"
"1/26/11","Manglona, Ramona V.","Islands","Obama",112,"Q"
"1/26/11","Oetken, James Paul","USDC: Southern District of New York","Obama",112,"Q"
"1/26/11","Ramos, Nelva Gonzales","USDC: Southern District of Texas","Obama",112,"Qsm/WQmin"
"1/26/11","Silas, Natasha Perdew","USDC: Northern District of Georgia","Obama",112,"Qsm/NQmin"
"1/26/11","Walker, Linda T.","USDC: Northern District of Georgia","Obama",112,"WQsm/Qmin"
"1/26/96","Broadwater, Willard Craig","USDC: Northern District of West Virginia","Clinton",104,"WQsm/Qmin"
"1/26/96","Pregerson, Dean D.","USDC: Central District of California","Clinton",104,"Q"
