"Judgenum","judge","nomination_date","confirmation_date","confirmation_vote","appointed_by","pres_start_date","start_active_date","end_active_date","end_senior_date","court","court_type","months_from_inauguration"
38,"Chang, Edmond E.",2010-04-21,2010-12-18,"unanimous consent","Barack Obama",2009-01-01,2010-12-20,2018-02-23,4712-12-31,"N.D. Ill.","District",23
39,"Kobayashi, Leslie E.",2010-04-21,2010-12-18,"unanimous consent","Barack Obama",2009-01-01,2010-12-22,2018-02-23,4712-12-31,"D. Haw.","District",23
40,"Reeves, Carlton W.",2010-04-28,2010-12-19,"unanimous consent","Barack Obama",2009-01-01,2010-12-20,2018-02-23,4712-12-31,"S.D. Miss.","District",23
41,"Pearson, Benita Y.",2009-12-03,2010-12-21,"56–39","Barack Obama",2009-01-01,2010-12-27,2018-02-23,4712-12-31,"N.D. Ohio","District",23
42,"Martínez, William J.",2010-02-24,2010-12-21,"58–37","Barack Obama",2009-01-01,2010-12-21,2018-02-23,4712-12-31,"D. Colo.","District",23
43,"Howell, Beryl A.",2010-07-14,2010-12-22,"unanimous consent","Barack Obama",2009-01-01,2010-12-27,2018-02-23,4712-12-31,"D.D.C.","District",23
44,"Wilkins, Robert L.",2010-05-20,2010-12-22,"unanimous consent","Barack Obama",2009-01-01,2010-12-27,2014-01-15,NA,"D.D.C.","District",23
45,"Hernandez, Marco A.",2011-01-05,2011-02-07,"unanimous consent","Barack Obama",2009-01-01,2011-02-09,2018-02-23,4712-12-31,"D. Ore.","District",25
46,"Saldaña, Diana",2011-01-05,2011-02-07,"94–0","Barack Obama",2009-01-01,2011-02-09,2018-02-23,4712-12-31,"S.D. Tex.","District",25
47,"Holmes III, Paul K.",2011-01-05,2011-02-07,"95–0","Barack Obama",2009-01-01,2011-02-08,2018-02-23,4712-12-31,"W.D. Ark.","District",25
48,"Davila, Edward J.",2011-01-05,2011-02-14,"93–0","Barack Obama",2009-01-01,2011-03-03,2018-02-23,4712-12-31,"N.D. Cal.","District",26
49,"Totenberg, Amy",2011-01-05,2011-02-28,"voice vote","Barack Obama",2009-01-01,2011-03-01,2018-02-23,4712-12-31,"N.D. Ga.","District",26
50,"Jones, Steve C.",2011-01-05,2011-02-28,"90–0","Barack Obama",2009-01-01,2011-03-03,2018-02-23,4712-12-31,"N.D. Ga.","District",26
51,"Myerscough, Sue E.",2011-01-05,2011-03-07,"voice vote","Barack Obama",2009-01-01,2011-03-14,2018-02-23,4712-12-31,"C.D. Ill.","District",26
52,"Shadid, James E.",2011-01-05,2011-03-07,"89–0","Barack Obama",2009-01-01,2011-03-10,2018-02-23,4712-12-31,"C.D. Ill.","District",26
53,"Battaglia, Anthony J.",2011-01-05,2011-03-07,"89–0","Barack Obama",2009-01-01,2011-03-09,2018-02-23,4712-12-31,"S.D. Cal.","District",26
54,"Cogburn, Jr., Max O.",2011-01-05,2011-03-10,"96–0","Barack Obama",2009-01-01,2011-03-11,2018-02-23,4712-12-31,"W.D.N.C.","District",26
55,"Boasberg, James E.",2011-01-05,2011-03-14,"96–0","Barack Obama",2009-01-01,2011-03-17,2018-02-23,4712-12-31,"D.D.C.","District",26
56,"Jackson, Amy Berman",2011-01-05,2011-03-17,"97–0","Barack Obama",2009-01-01,2011-03-18,2018-02-23,4712-12-31,"D.D.C.","District",26
57,"D'Agostino, Mae",2011-01-05,2011-03-28,"88–0","Barack Obama",2009-01-01,2011-03-30,2018-02-23,4712-12-31,"N.D.N.Y.","District",26
